Ticker,Sector
JNJ,pharmaceuticals
JCI,building products
JPM,diversified banks
JNPR,communications equipment
K,packaged foods & meats
KVUE,personal care products
KDP,soft drinks & non-alcoholic beverages
KEY,regional banks
KEYS,electronic equipment & instruments
KMB,household products
KIM,retail reits
KMI,oil & gas storage & transportation
KLAC,semiconductor materials & equipment
KHC,packaged foods & meats
KR,food retail
LHX,aerospace & defense
LH,health care services
LRCX,semiconductor materials & equipment
LW,packaged foods & meats
LVS,casinos & gaming
LDOS,diversified support services
LEN,homebuilding
LIN,industrial gases
LYV,movies & entertainment
LKQ,distributors
LMT,aerospace & defense
L,multi-line insurance
LOW,home improvement retail
LULU,"apparel, accessories & luxury goods"
LYB,specialty chemicals
MTB,regional banks
MRO,oil & gas exploration & production
MPC,oil & gas refining & marketing
MKTX,financial exchanges & data
MAR,"hotels, resorts & cruise lines"
MMC,insurance brokers
MLM,construction materials
MAS,building products
MA,transaction & payment processing services
MTCH,interactive media & services
MKC,packaged foods & meats
MCD,restaurants
MCK,health care distributors
MDT,health care equipment
MRK,pharmaceuticals
META,interactive media & services
MET,life & health insurance
MTD,life sciences tools & services
MGM,casinos & gaming
MCHP,semiconductors
MU,semiconductors
MSFT,systems software
MAA,multi-family residential reits
MRNA,biotechnology
MHK,home furnishings
MOH,managed health care
TAP,brewers
MDLZ,packaged foods & meats
MPWR,semiconductors
MNST,soft drinks & non-alcoholic beverages
MCO,financial exchanges & data
MS,investment banking & brokerage
MOS,fertilizers & agricultural chemicals
MSI,communications equipment
MSCI,financial exchanges & data
NDAQ,financial exchanges & data
NTAP,"technology hardware, storage & peripherals"
NFLX,movies & entertainment
NEM,gold
NWSA,publishing
NWS,publishing
NEE,multi-utilities
NKE,"apparel, accessories & luxury goods"
NI,multi-utilities
NDSN,industrial machinery & supplies & components
NSC,rail transportation
NTRS,asset management & custody banks
NOC,aerospace & defense
NCLH,"hotels, resorts & cruise lines"
NRG,independent power producers & energy traders
NUE,steel
NVDA,semiconductors
NVR,homebuilding
NXPI,semiconductors
ORLY,automotive retail
OXY,oil & gas exploration & production
ODFL,cargo ground transportation
OMC,advertising
ON,semiconductors
OKE,oil & gas storage & transportation
ORCL,application software
OTIS,industrial machinery & supplies & components
PCAR,construction machinery & heavy transportation equipment
PKG,paper & plastic packaging products & materials
PANW,systems software
PARA,movies & entertainment
PH,industrial machinery & supplies & components
PAYX,human resource & employment services
PAYC,human resource & employment services
PYPL,transaction & payment processing services
PNR,industrial machinery & supplies & components
PEP,soft drinks & non-alcoholic beverages
PFE,pharmaceuticals
PCG,multi-utilities
PM,tobacco
PSX,oil & gas refining & marketing
PNW,multi-utilities
PXD,oil & gas exploration & production
PNC,regional banks
POOL,distributors
PPG,specialty chemicals
PPL,electric utilities
PFG,life & health insurance
PG,personal care products
PGR,property & casualty insurance
PLD,industrial reits
PRU,life & health insurance
PEG,electric utilities
PTC,application software
PSA,self-storage reits
PHM,homebuilding
QRVO,semiconductors
PWR,construction & engineering
QCOM,semiconductors
DGX,health care services
RL,"apparel, accessories & luxury goods"
RJF,investment banking & brokerage
RTX,aerospace & defense
O,retail reits
REG,retail reits
REGN,biotechnology
RF,regional banks
RSG,environmental & facilities services
RMD,health care equipment
RVTY,health care equipment
RHI,human resource & employment services
ROK,electrical components & equipment
ROL,environmental & facilities services
ROP,electronic equipment & instruments
ROST,apparel retail
RCL,"hotels, resorts & cruise lines"
SPGI,financial exchanges & data
CRM,application software
SBAC,telecom tower reits
SLB,oil & gas equipment & services
STX,"technology hardware, storage & peripherals"
