GICS Sub-Industry,Tickers
Packaged Foods & Meats,"['CPB', 'CAG', 'GIS', 'HSY', 'HRL', 'K', 'MKC', 'MDLZ', 'SJM', 'TSN']"
Paper & Plastic Packaging Products & Materials,"['AMCR', 'AVY', 'IP', 'PKG', 'SEE']"
Passenger Airlines,"['ALK', 'AAL', 'DAL', 'LUV', 'UAL']"
Personal Care Products,"['EL', 'PG']"
Pharmaceuticals,"['BMY', 'CTLT', 'LLY', 'JNJ', 'MRK', 'PFE', 'VTRS', 'ZTS']"
Property & Casualty Insurance,"['ALL', 'ACGL', 'CB', 'CINF', 'HIG', 'PGR', 'TRV', 'WRB']"
Publishing,"['NWSA', 'NWS']"
Rail Transportation,"['CSX', 'NSC', 'UNP']"
Real Estate Services,"['CBRE', 'CSGP']"
Regional Banks,"['CFG', 'HBAN', 'KEY', 'MTB', 'PNC', 'RF', 'TFC', 'ZION']"
Reinsurance,['EG']
Research & Consulting Services,"['EFX', 'VRSK']"
Restaurants,"['CMG', 'DRI', 'DPZ', 'MCD', 'SBUX', 'YUM']"
Retail REITs,"['FRT', 'KIM', 'O', 'REG', 'SPG']"
Self-Storage REITs,"['EXR', 'PSA']"
Semiconductor Materials & Equipment,"['AMAT', 'ENPH', 'KLAC', 'LRCX', 'TER']"
Semiconductors,"['AMD', 'ADI', 'AVGO', 'FSLR', 'INTC', 'MCHP', 'MU', 'MPWR', 'NVDA', 'NXPI', 'ON', 'QRVO', 'QCOM', 'SWKS', 'TXN']"
Soft Drinks & Non-alcoholic Beverages,"['KO', 'KDP', 'MNST', 'PEP']"
Specialty Chemicals,"['ALB', 'CE', 'DD', 'EMN', 'ECL', 'IFF', 'LYB', 'PPG', 'SHW']"
Specialty Stores,"['TSCO', 'ULTA']"
Steel,"['NUE', 'STLD']"
Systems Software,"['FTNT', 'GEN', 'MSFT', 'PANW', 'NOW']"
Technology Distributors,['CDW']
"Technology Hardware, Storage & Peripherals","['AAPL', 'HPQ', 'NTAP', 'STX', 'WDC']"
Telecom Tower REITs,"['AMT', 'CCI', 'SBAC']"
Timber REITs,['WY']
Tobacco,"['MO', 'PM']"
Trading Companies & Distributors,"['FAST', 'URI']"
Transaction & Payment Processing Services,"['FIS', 'FI', 'FLT', 'GPN', 'JKHY', 'MA', 'V']"
Water Utilities,['AWK']
Wireless Telecommunication Services,['TMUS']
